"Александрович",10.38
"Алексеевич",7.14
"Анатольевич",0.6
"Андреевич",5.84
"Антонович",2.81
"Арсеньевич",0.22
"Артёмович",2.38
"Артурович",0.22
"Борисович",0.48
"Вадимович",0.74
"Валентинович",0.28
"Валерьевич",0.5
"Васильевич",0.89
"Викторович",1.53
"Витальевич",1.08
"Владимирович",3.03
"Владиславович",0.86
"Вячеславович",0.93
"Геннадьевич",0.17
"Георгиевич",0.74
"Глебович",0.24
"Григорьевич",0.52
"Даниилович",0.41
"Денисович",2.38
"Дмитриевич",7.79
"Евгеньевич",3.89
"Егорович",0.58
"Иванович",1.77
"Игоревич",1.99
"Ильич",2.59
"Кириллович",2.38
"Константинович",1.45
"Леонидович",0.37
"Максимович",3.68
"Михайлович",3.24
"Никитич",1.82
"Николаевич",2.59
"Олегович",1.47
"Павлович",3.46
"Петрович",0.63
"Романович",2.38
"Семёнович",0.19
"Сергеевич",7.35
"Станиславович",1.19
"Степанович",0.24
"Тимурович",2.03
"Фёдорович",0.37
"Филиппович",0.3
"Юрьевич",1.45
"Ярославич",0.43
