"Александрович",10.68
"Алексеевич",6.54
"Альбертович",0.21
"Анатольевич",0.96
"Андреевич",8.5
"Аркадьевич",0.2
"Артёмович",0.19
"Артурович",0.35
"Борисович",0.68
"Вадимович",1.37
"Валентинович",0.24
"Валерьевич",1.79
"Васильевич",0.89
"Викторович",1.77
"Витальевич",1.87
"Владимирович",6.32
"Владиславович",0.98
"Вячеславович",1.83
"Геннадьевич",1.09
"Георгиевич",0.37
"Германович",0.15
"Григорьевич",0.37
"Денисович",0.72
"Дмитриевич",7.19
"Евгеньевич",2.18
"Егорович",0.15
"Иванович",0.76
"Игоревич",4.58
"Ильич",0.74
"Константинович",1.68
"Леонидович",0.44
"Максимович",1.18
"Маратович",0.24
"Михайлович",3.71
"Никитич",0.13
"Николаевич",2.4
"Олегович",4.36
"Павлович",1.85
"Петрович",0.5
"Романович",1.33
"Русланович",0.5
"Сергеевич",12.64
"Станиславович",0.7
"Степанович",0.12
"Тимофеевич",0.12
"Тимурович",0.15
"Фёдорович",0.2
"Эдуардович",0.89
"Юрьевич",3.05
"Ярославич",0.14
