"Александр",10.68
"Алексей",6.54
"Альберт",0.21
"Анатолий",0.96
"Андрей",8.5
"Аркадий",0.2
"Артём",0.19
"Артур",0.35
"Борис",0.68
"Вадим",1.37
"Валентин",0.24
"Валерий",1.79
"Василий",0.89
"Виктор",1.77
"Виталий",1.87
"Владимир",6.32
"Владислав",0.98
"Вячеслав",1.83
"Геннадий",1.09
"Георгий",0.37
"Герман",0.15
"Григорий",0.37
"Денис",0.72
"Дмитрий",7.19
"Евгений",2.18
"Егор",0.15
"Иван",0.76
"Игорь",4.58
"Илья",0.74
"Константин",1.68
"Леонид",0.44
"Максим",1.18
"Марат",0.24
"Михаил",3.71
"Никита",0.13
"Николай",2.4
"Олег",4.36
"Павел",1.85
"Пётр",0.5
"Роман",1.33
"Руслан",0.5
"Сергей",12.64
"Станислав",0.7
"Степан",0.12
"Тимофей",0.12
"Тимур",0.15
"Фёдор",0.2
"Эдуард",0.89
"Юрий",3.05
"Ярослав",0.14
