"Александра",2.74
"Алёна",1.37
"Алеся",0.23
"Алина",0.96
"Алиса",0.34
"Алла",0.39
"Анастасия",7.09
"Ангелина",0.23
"Анна",7.09
"Валентина",0.71
"Валерия",0.85
"Варвара",0.23
"Вера",0.71
"Вероника",0.57
"Виктория",2.29
"Галина",0.69
"Дарья",4.34
"Диана",0.46
"Евгения",2.29
"Екатерина",8.69
"Елена",5.49
"Елизавета",1.07
"Инна",0.39
"Ирина",3.89
"Карина",0.43
"Кира",0.27
"Кристина",2.22
"Ксения",1.92
"Лидия",0.39
"Лилия",0.46
"Любовь",0.8
"Людмила",0.75
"Маргарита",1.07
"Марина",2.29
"Мария",6.17
"Надежда",1.6
"Наталия",4.12
"Наталья",0.66
"Нина",0.57
"Оксана",1.1
"Олеся",0.78
"Ольга",5.26
"Полина",0.75
"Светлана",3.2
"София",0.25
"Софья",0.32
"Тамара",0.27
"Татьяна",4.34
"Юлия",5.94
"Яна",0.96
