"Александровна",10.68
"Алексеевна",6.54
"Альбертовна",0.21
"Анатольевна",0.96
"Андреевна",8.5
"Аркадьевна",0.2
"Артёмовна",0.19
"Артуровна",0.35
"Борисовна",0.68
"Вадимовна",1.37
"Валентиновна",0.24
"Валерьевна",1.79
"Васильевна",0.89
"Викторовна",1.77
"Витальевна",1.87
"Владимировна",6.32
"Владиславовна",0.98
"Вячеславовна",1.83
"Геннадьевна",1.09
"Георгиевна",0.37
"Германовна",0.15
"Григорьевна",0.37
"Денисовна",0.72
"Дмитриевна",7.19
"Евгеньевна",2.18
"Егоровна",0.15
"Ивановна",0.76
"Игоревна",4.58
"Ильинична",0.74
"Константиновна",1.68
"Леонидовна",0.44
"Максимовна",1.18
"Маратовна",0.24
"Михайловна",3.71
"Никитична",0.13
"Николаевна",2.4
"Олеговна",4.36
"Павловна",1.85
"Петровна",0.5
"Романовна",1.33
"Руслановна",0.5
"Сергеевна",12.64
"Станиславовна",0.7
"Степановна",0.12
"Тимофеевна",0.12
"Тимуровна",0.15
"Фёдоровна",0.2
"Эдуардовна",0.89
"Юрьевна",3.05
"Ярославна",0.14
